100,2.23225371e+02,-8.48022293e-01,8.00988865e-03,1.03354377e+02,-2.44430596e-03,1.13368343e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.39040397e-02,-1.02662414e+00,-2.03788448e+00,8.27261182e-04,-3.35656665e-03,8.48662879e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,
10,1.09869914e+03,1.15117481e+01,-2.15658503e+00,1.78661560e+02,7.61142015e-03,-8.37420032e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.83955631e-01,1.05559367e+00,1.33203672e+01,3.67094530e-03,1.19320349e-02,1.18582988e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
110,2.19359180e+02,-8.62142587e-01,1.14632597e-01,1.02301859e+02,1.62708481e-03,-6.07353250e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.45887633e-02,-1.15734297e+00,-2.02251197e+00,-2.58808652e-04,2.25956553e-02,1.48638070e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
120,2.16135520e+02,-7.91617901e-01,1.73265376e-01,1.01317062e+02,4.63370024e-03,-2.17200295e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.72436556e-02,-1.22612622e+00,-1.90170798e+00,-6.92388435e-04,4.59012264e-02,1.90980967e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
130,2.13437838e+02,-7.73815934e-01,1.36819546e-01,1.00381029e+02,5.88391007e-03,-3.06609740e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.32142212e-02,-1.16705478e+00,-1.85677812e+00,-1.03492108e-03,5.91298744e-02,2.07962097e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
140,2.11113461e+02,-7.32188369e-01,-9.40751758e-04,9.94924711e+01,3.39135600e-03,-2.71876281e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-7.01317453e-02,-9.39917639e-01,-1.76099098e+00,-8.29017042e-05,5.39193830e-02,1.68835576e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
150,2.09034259e+02,-7.52479378e-01,-1.41559897e-01,9.86515571e+01,-9.16625746e-04,-1.22831061e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-8.33761975e-02,-6.96497528e-01,-1.75507824e+00,1.27684055e-03,3.19974929e-02,1.08120742e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
160,2.07119216e+02,-7.51600835e-01,-2.55206005e-01,9.78139402e+01,-4.48414626e-03,2.09996397e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,-8.74086549e-02,-5.08230330e-01,-1.71442757e+00,3.26485015e-03,1.07252473e-02,5.46550274e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,
170,2.05355892e+02,-7.39738361e-01,-2.77072997e-01,9.69982192e+01,-1.25166367e-02,1.40087488e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-7.52149053e-02,-4.56970103e-01,-1.65557362e+00,3.61672082e-03,-6.79903286e-03,-6.70959308e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,
180,2.03703357e+02,-7.68564806e-01,-2.13097993e-01,9.62020581e+01,-2.13868189e-02,1.94208879e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.62345427e-02,-5.17484441e-01,-1.68050319e+00,2.76768128e-03,-1.49514336e-02,-2.00444682e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
190,2.02132950e+02,-8.44649617e-01,-1.21747140e-01,9.54265968e+01,-2.27693698e-02,1.80625722e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.51416289e-02,-6.14292645e-01,-1.76370445e+00,2.28556846e-03,-1.32017671e-02,-2.23478950e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
200,2.00586023e+02,-8.68176378e-01,-2.77370561e-02,9.46714590e+01,-2.20087550e-02,1.03323596e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.89298135e-02,-7.23097922e-01,-1.77371385e+00,1.70216614e-03,-1.46610210e-03,-2.10374096e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,
